title,company,technologies
Middle+/Senior Python Developer,TerraForce Software,"['Python', 'Flask', 'Django']"
Senior Python Developer,DataArt,['Python']
Middle/Middle+ Python Developer,WeSoftYou,"['Python', 'AWS', 'DjangoREST', 'SQL/SQLite/MySQL/PostgreSQL/SQLAlchemy', 'Docker', 'LangChain']"
Senior Full Stack (Python/React) Developer,Proffiz,"['Python', 'React', 'AWS']"
Machine Learning Engineer,Intelliarts,['MachineLearning']
Python software engineer,Logivations,"['MachineLearning', 'Python']"
Python developer,Miteyda,['Англійська:Upper-Intermediate']
Senior Python Developer (IRC191903),GlobalLogic,['Англійська:Upper-Intermediate']
Python developer for global product (audit and assurance company BIG FOUR),Deloitte,['Англійська:Upper-Intermediate']
Middle Python Full-stack Developer,JOIDY,"['Python', 'Flask', 'Django', 'JavaScript', 'React']"
Senior Python developer,promdex,"['Python', 'Python3']"
Senior BackEnd Python (Django) Developer,Fluvius,"['Django', 'Python']"
Senior Python engineer (with DevOps experience),Luxoft,"['Python', 'Kubernetes', 'CI/CD', 'DevOps', 'Git']"
Junior Python Developer in Test (CSA),Ajax Systems,['Бездосвіду']
Tech Lead (Python),1touch,['Англійська:Pre-Intermediate']
Python developer,Peppernode,"['Django', 'DRF', 'AWS', 'Docker', 'FastAPI', 'Flask', 'Python']"
Looking for a Django expert,New Wave Devs,"['Django', 'Python']"
Senior Python Engineer,promdex,"['AWS', 'Python', 'Python3']"
Middle Python developer                                    1600-2200,Mornhouse,"['Python', 'Django', 'RESTAPI', 'Pandas', 'Nginx']"
Middle Django developer,PLANEKS,"['Python', 'Django', 'DjangoRestFramework', 'Flask', 'FastAPI']"
Senior Python engineer (with DevOps experience),Luxoft,['Англійська:Upper-Intermediate']
Middle/Senior Python Developer,Newxel,"['Python', 'AWS', 'MySQL/PostgreSQL/MongoDB', 'databases', 'Docker/DockerCompose', 'Kubernetes', 'Linux']"
Data Scientist,Indigo - Tech Recruiters,['Англійська:Advanced/Fluent']
Senior Python Engineer,Yael Acceptic,"['Python', 'Flask', 'React', 'jQuery', 'HTML&CSS', 'Git']"
Odoo Developer (Middle/Senior),Evo Mall,['Odoo']
Backend Developer                                до 2000,eFrontiers,['Англійська:Upper-Intermediate']
Python Developer,Yael Acceptic,"['Python', 'AWS', 'Django/Flask/Aiohttp/FastApi', 'Docker', 'SQL']"
Senior Backend Developer for ML/CV Project                                    3500-4000,COXIT,"['Backenddevelopment', 'Python', 'Node.js']"
Junior/Middle Python Developer (with C++ knowledge),ModuleWorks,"['Python', 'C++']"
Python Developer (AdTech),Sigma Software,"['Python', 'Django', 'Flask']"
Middle Python Developer,WeSoftYou,"['Python', 'Django']"
Senior Python engineer (with DevOps experience),Luxoft,"['Kubernetes(1+years)', 'CI/CD', 'Git']"
Senior Python Engineer,MintyMint,"['asyncio', 'MongoDB', 'REST', 'JSON', 'unittest', 'Agile/Scrum', 'nonweb']"
Senior Backend Engineer,nOps,"['AWS', 'Kubernetes', 'DataEngineering', 'Microservices']"
Python Developer                                    2000-4000,PIN-UP Global,"['HTML/CSS', 'HTML/CSS/JavaScript/TypeScript', 'Python/Django']"
Senior Python Engineer (Flask),Langate,"['Flask', 'Pandas', 'Python', 'MSSQL']"
Middle or Senior Python Engineer (development from scratch),ITExpert,"['Django/Flask/Aiohttp/FastApi', 'Flask', 'FastAPI', 'Python']"
Middle Quantitative Researcher,Indigo - Tech Recruiters,['Англійська:Advanced/Fluent']
Trainee/Junior Python Developer,Inforce,['Англійська:Upper-Intermediate']
Full-stack Engineer (Python+React.js),1648 Factory,['Англійська:Upper-Intermediate']
Python Developer (Data engineering),Dataforest,"['ETL', 'Python', 'Elasticsearch', 'SQL', 'Kafka', 'AWS', 'ApacheAirflow']"
Python developer,Project Ukraine,['Python']
Senior Python Developer (Flask),Starnavi,"['Flask', 'Python', 'SQLAlchemy', 'Docker', 'Kubernetes', 'AWS']"
Middle+/Senior Python Developer,WeSoftYou,"['Python', 'AWSDynamoDB', 'AWSLambda', 'GraphQL', 'React.js', 'Next.js']"
Low Code Developer,Metinvest Digital,"['LowCodeDeveloper', 'PowerPlatformDeveloper', 'Python', 'PowerAutomate', 'Azure']"
Middle Python Developer,Leadsdoit,['Англійська:Intermediate']
Python Fullstack Developer,Plexteq,['Англійська:Intermediate']
Senior Python Developer,Ixilix,"['Python', 'Unittesting', 'MariaDB', 'SQLAlchemy', 'Kafka', 'Redis', 'Docker']"
Python Developer,AUTODOC,['2рокидосвіду']
Python / Data Engineer,Reface,['Англійська:Upper-Intermediate']
Senior Python Engineer,GlobalLogic,"['Python', 'AWSAurora', 'AmazonRelationalDatabaseService(RDS)', 'Microservices', 'ETL', 'AmazonAWS']"
Middle Python Django Developer                                    2000-4000,Polytech Software,"['Django', 'AWS', 'SQL']"
Python/Django                                    1500-3000,Perlyna Devs,"['Python', 'Django', 'DjangoRestFramework', 'Go']"
Python developer,A.V.A. LTD,['Англійська:Intermediate']
Middle+ Python Software Engineer,EVO,['5роківдосвіду']
Python Developer,Dataforest,"['python', 'scraping', 'SQL/NoSQL', 'BeautifulSoup']"
"Full Stack Engineer (Python, JavaScript)",Particles Global,['Англійська:Advanced/Fluent']
Senior Python Backend Engineer,Develux,"['Python', 'Django', 'PostgreSQL', 'Elasticsearch', 'AWS']"
Full-stack (Python+React) Engineer,ELITEX,"['Python', 'React', 'JavaScript/Typescript', 'AWS:Lambda', 'ECS', 'Docker']"
Software Engineer (Python),SPS Commerce,['Англійська:Intermediate']
Python Fullstack Developer,Plexteq,['Англійська:Intermediate']
Senior Python Developer                                    4000-6000,Teramind,"['python', 'ML']"
Middle Python Fullstack Developer,Plexteq,['Англійська:Upper-Intermediate']
Backend Developer (Python/PostgreSQL),Graintrack,"['SaaS', 'JavaScript', 'DjangoREST', 'Django', 'Django/Flask/Aiohttp/FastApi']"
Senior Python Developer,Quintagroup,"['Python', 'Django/Python']"
Odoo розробник в проект ломбарду                                    2000-5000,Deal Zone,"['odoo', 'Python']"
Python developer,Project Ukraine,"['Python', 'Python3.8+', 'Django', 'PostgreSQL', 'RESTapi']"
Middle Python Developer,COMPARUS UA,['Англійська:Intermediate']
Data Scientist,Simplify,"['Sota', 'PyTorch', 'OpenCV', 'tensorrt']"
Full Stack Developer (Python+React),Trust-Sourcing,['Англійська:Upper-Intermediate']
Senior Python Backend Engineer,Develux,['Англійська:Intermediate']
Senior Python Engineer,ITExpert,"['Python', 'MachineLearning', 'DataScience/MachineLearning']"
Odoo Engineer                                від 3000,at Apexive,"['odoo', 'Python']"
Python Developer                                від 3000,Mindecs,"['Python', 'AWS', 'Terraform', 'Linux', 'Jenkins']"
Team Lead Python 5+years,itsoft,['Англійська:Advanced/Fluent']
Python developer,WebCap Digitals,"['Python', 'CRM']"
Team Lead Python Developer,Timelycode,['Англійська:Upper-Intermediate']
Full-Stack Software Engineer at a Podcasting Startup                                    6000,Rephonic,"['Python', 'JavaScript', 'Next.js', 'React', 'Django']"
Strong Middle Full-Stack Developer (Python+Vue)                                    5000,A-LISTWARE,['Англійська:Upper-Intermediate']
Python Developer,Repetry,['Англійська:Upper-Intermediate']
Back-End/ Full-Stack Developer (Django),Vista Auction,"['DjangoRestFramework', 'Backenddevelopment', 'Full-stackWebDevelopment']"
Senior Python developer,Langate,['Англійська:Upper-Intermediate']
Middle Full Stack Python Developer,Perfsol,"['Python', 'Django', 'Angular.js', 'PostgreSQL']"
Senior Python Developer                                    3500-5000,Software Rocket,"['Python', 'Django', 'AWS']"
Senior ML Engineer,ITExpert,"['MachineLearning', 'Python', 'DataScience', 'quantitativeresearch', 'time-series', 'tabulardata']"
Senior Python Engineer (LLMs Integration),Unillence,['Англійська:Upper-Intermediate']
Tech Lead Full-stack Engineer (JS/Python)                                    4000-5500,Softengi,"['Python', 'Django', 'JavaScript', 'NoSQL', 'MongoDB', 'SQL', 'XR/VR/AR']"
Full Stack Python Developer,MaybeWorks🇺🇦,['Англійська:Upper-Intermediate']
Python Developer / Data Analyst for a software product related to solar energy,Virtuous-Re GmbH,['Англійська:Upper-Intermediate']
Senior Full Stack Developer,Proffiz,"['Python', 'React']"
Python (Django) Team Lead,Dataforest,"['ETL', 'Python', 'Python/Django', 'DjangoRestFramework', 'SQL/NoSQL', 'Celery']"
Middle Python Computer Vision Engineer / Backend engineer in UAV Product,REINDORF,"['Python', 'OpenCV', 'Tensorflow']"
Senior Python Engineer,TEDDY,"['DjangoRESTAPI', 'Django']"
Middle Python Developer,Dataforest,"['Pythonscripting', 'Python', 'webscraping']"
Odoo Engineer,OpsWay,"['Odoo', 'Python', 'JavaScript', 'Docker/DockerCompose', 'PostgreSQL', 'OWL', 'XML']"
Python Developer in Europe only,Meduzzen,"['Python', 'API', 'Selenium']"
Senior Python Developer,Simloud,"['Python', 'AWS', 'Flask', 'Azure']"
Team Lead Python developer,Academy SMART,['Англійська:Upper-Intermediate']
"Senior FullStack Developer (React,TypeScript and Python)",Apriorit,"['ReactNative', 'Python', 'TypeScript', 'Full-stackWebDevelopment', 'fullstack']"
Python Software Engineer (Zakupki.Prom),EVO,['1рікдосвіду']
Senior Full-Stack Developer (Python/React),Infopulse,['Англійська:Intermediate']
Senior Python Backend Developer,MoveUp Recruitment agency,"['Python', 'SWdesign', 'Kubernetes', 'Docker', 'Microservices', 'CI/CD', 'AWS']"
Middle Python Developer,Uvik Software,['Англійська:Intermediate']
Middle  Software Developer,Bidsbee,"['Rust', 'Golang/Go', 'Python', 'QuantResearchers', 'web3', 'API', 'BlockchainandCryptocurrency']"
Middle/Senior Python Developer,GEO Pay,"['Redis', 'Python', 'Celery', 'Django', 'PostgreSQL']"
Tech Lead/Principal Engineer/Architect,VPteam,"['Python', 'AWS', 'AI', 'Microservicearchitecture', 'High-load', 'BigData']"
Back End Developer,Nashpush,"['back-end', 'Backenddevelopment', 'Python', 'Python/Django', 'Django']"
Python Team Lead,PLANEKS,"['Python', 'Django', 'TeamLead', 'CI/CD', 'Flask', 'MongoDB']"
Python Architect/Developer                                до 5500,Argument,"['Python', 'PostgreSQL', 'SQL']"
"Software Engineer (Python/Django, TypeScript/Vue)                                від 4000",mojob,"['Python', 'Django', 'JavaScript', 'Vue.js', 'MachineLearning']"
Senior Software Engineer (Python),Indigo - Tech Recruiters,"['Docker', 'REST', 'PostgreSQL', 'NegotiationandCommunication']"
Strong Junior Python Developer,UnameIT,"['Python', 'Electronics']"
Middle Data/Python Engineer,Ralabs,"['Clickdata', 'PowerBI', 'Python']"
Senior Python Developer,Numerical Technologies,['Англійська:Upper-Intermediate']
python developer for algorithmic trading project,NATS,"['Python', 'Django', 'PostgreSQL', 'RabbitMQ', 'multiprocessing', 'threading', 'asyncio']"
Full Stack (Python+Vue.js) developer,Academy SMART,['Англійська:Upper-Intermediate']
Middle Back-End Developer,Qubstudio,"['Django', 'Celery', 'Redis', 'RESTAPI', 'Fintech']"
Senior Full-Stack Developer,TheAppSolutions,"['Python', 'Flask', 'React', 'AWS']"
AI Developer,Sweetcode Lab,"['javascript', 'node', 'GPT', 'Llama2', 'elevenlabs', 'react', 'Python']"
Senior Backend Engineer,TheAppSolutions,"['Python', 'Flask', 'Django/Flask/Aiohttp/FastApi', 'AWS']"
Python (Django) developer                                    500-2000,SheepFish,"['Python', 'Django', 'APIREST']"
Python Developer - work from Wroclaw or Krakow,Luxoft,['Англійська:Upper-Intermediate']
Python Software Engineer,Dataforest,"['FastAPI', 'aws', 'sql', 'postgres', 'redis', 'NoSQL', 'CI/CD']"
Senior Python Developers with GIS,SoloWay Technologies,['Python']
"Senior Full Stack Developer (React, Python)",LightTeam,"['Python', 'React.js', 'NextJS', 'Next.js', 'JavaScript/TypeScript', 'Flask', 'Django']"
Sr Python Engineer,Zaly,"['Python', 'PostgreSQL', 'KnowledgeofSQL', 'highload']"
Full Stack (Python+Vue.js) Developer,Academy SMART,"['Python', 'Vue.js']"
AI Developer - Computer Vision Specialist,Piovis,"['ComputerVision', 'JavaScript', 'XML']"
Senior Python BackEnd Engineer,VeryBusy Recruiting,"['Python', 'Flask', 'Python3', 'asyncio', 'Go', 'FastAPI']"
Senior Python Developer,Simplify,"['GIS', 'PyGEOS', 'numpy', 'JupyterNotebook', 'AWSS3']"
Team Lead,Quintagroup,"['python', 'pyspark', 'athena', 'awsglue', 'AWSLambda']"
Senior Python Developer (Django),Quintagroup,"['python', 'django', 'DjangoRestFramework']"
Senior Python developer with GIS experience,Kozak Agency,['Англійська:Upper-Intermediate']
Raspberry PI developer with camera stream experience,PUSHIT,"['C', 'C/C++', 'C++', 'RaspberryPI', 'Python3', 'Python', 'rtsp']"
Senior Back-End Developer,JetOffice,"['KotIin', 'Python', 'Node.js', 'Java', 'Backenddevelopment', 'back-end', 'AI']"
IoT developer  (LoRaWAN),Quintagroup,"['LoraWAN', 'Lora', 'Python']"
Senior Software Engineer (IoT),Quintagroup,"['Modbus', 'OPCUA', 'OPCUA', 'mqtt', 'LoRaWAN']"
Senior Python Developer in ML/Data project,DataRoot Labs,"['Python', 'ApacheFlink', 'ApacheSpark', 'ApacheKafka', 'MachineLearning']"
Python Developer in ML/Data project,DataRoot Labs,"['Python', 'ApacheFlink', 'ApacheKafka', 'MachineLearning', 'ApacheSpark']"
Senior Machine Learning Engineer video                                    5000-7997,ITLab Studio,['MachineLearningEngineer']
Python Team Lead,Simplify,"['GIS', 'PyGEOS', 'numpy', 'JupyterNotebook', 'S3', 'GoogleSheets']"
Machine Learning Engineer                                    5000-8000,ITLab Studio,['Англійська:Upper-Intermediate']
Middle Python Developer (Automation Team),Ajax Systems,['Англійська:Intermediate']
Senior Python Developer,Ajax Systems,['Англійська:Pre-Intermediate']
FullStack Python Tech Lead (residence in Romania is mandatory),Luxoft,['Англійська:Upper-Intermediate']
Lead Python Developer,Sloboda studio,"['Python3', 'JavaScript', 'Langchain', 'NLPmodels', 'AI']"
Python (Django) Developer,PLANEKS,"['Django', 'PostgreSQL', 'MongoDB', 'Celery', 'Redis', 'DjangoORM', 'DjangoRestFramework']"
Senior Python Developer,KISS Software,['3рокидосвіду']
Team Lead / Solutions Architect (Python/React ),TEDDY,['Англійська:Upper-Intermediate']
FullStack Developer (Python + React or Angular),DataArt,"['ReactJS', 'AngularJS', 'Python']"
